year,fn,url
2005,2005_us.xlsx,https://www.huduser.gov/picture2005/2005_us.xlsx
2005,2005_state.xlsx,https://www.huduser.gov/picture2005/2005_state.xlsx
2005,2005_pha.xlsx,https://www.huduser.gov/picture2005/2005_pha.xlsx
2005,2005_msa.xlsx,https://www.huduser.gov/picture2005/2005_msa.xlsx
2005,2005_county.xlsx,https://www.huduser.gov/picture2005/2005_county.xlsx
2005,2005_places.xlsx,https://www.huduser.gov/picture2005/2005_places.xlsx
2005,2005_projects.xlsx,https://www.huduser.gov/picture2005/2005_projects.xlsx
2005,2005_tract.xlsx,https://www.huduser.gov/picture2005/2005_tract.xlsx
2004,2004_us.xlsx,https://www.huduser.gov/picture2004/2004_us.xlsx
2004,2004_state.xlsx,https://www.huduser.gov/picture2004/2004_state.xlsx
2004,2004_pha.xlsx,https://www.huduser.gov/picture2004/2004_pha.xlsx
2004,2004_msa.xlsx,https://www.huduser.gov/picture2004/2004_msa.xlsx
2004,2004_county.xlsx,https://www.huduser.gov/picture2004/2004_county.xlsx
2004,2004_places.xlsx,https://www.huduser.gov/picture2004/2004_places.xlsx
2004,2004_projects.xlsx,https://www.huduser.gov/picture2004/2004_projects.xlsx
2004,2004_tract.xlsx,https://www.huduser.gov/picture2004/2004_tract.xlsx
